account_id,customer_id,account_type,account_status,currency,opened_at,closed_at,created_at,updated_at
91563c56-cb7a-486f-bdf9-e2a6c9bf91d2,4ae09629-8052-4055-828c-708de0fa546a,checking,active,USD,2018-03-10T00:00:00+00:00,,2018-03-10T00:00:00+00:00,2018-03-10T00:00:00+00:00
6feb35aa-61fd-46e5-9a10-2b7833496c7e,4ae09629-8052-4055-828c-708de0fa546a,loan,active,USD,2022-05-22T00:00:00+00:00,,2022-05-22T00:00:00+00:00,2022-05-22T00:00:00+00:00
162cf789-75a3-49ea-8f4b-34b192050cc9,776a3cbb-42aa-4d18-8a80-f2efca3a6674,savings,active,USD,2021-07-06T00:00:00+00:00,,2021-07-06T00:00:00+00:00,2021-07-06T00:00:00+00:00
edba7b00-559a-4f1a-ae80-580b3203bbab,776a3cbb-42aa-4d18-8a80-f2efca3a6674,checking,active,USD,2018-04-17T00:00:00+00:00,,2018-04-17T00:00:00+00:00,2018-04-17T00:00:00+00:00
fd9ca899-99cd-4298-8c01-a5894a6650c5,776a3cbb-42aa-4d18-8a80-f2efca3a6674,savings,active,USD,2022-03-21T00:00:00+00:00,,2022-03-21T00:00:00+00:00,2022-03-21T00:00:00+00:00
5229271f-074e-4e9e-b809-d911e27149ec,300658ed-9416-4bf7-9d76-92169e55f97e,credit,active,USD,2020-07-17T00:00:00+00:00,,2020-07-17T00:00:00+00:00,2020-07-17T00:00:00+00:00
25893d2d-10f2-4480-9a1f-b5d11d19ee42,300658ed-9416-4bf7-9d76-92169e55f97e,credit,inactive,USD,2021-06-22T00:00:00+00:00,,2021-06-22T00:00:00+00:00,2021-06-22T00:00:00+00:00
5d14e488-d5e7-4714-b5d7-baf6082626d7,300658ed-9416-4bf7-9d76-92169e55f97e,credit,active,USD,2018-02-23T00:00:00+00:00,,2018-02-23T00:00:00+00:00,2018-02-23T00:00:00+00:00
0375cd0c-ab25-46c0-b998-8ccf571f1e32,a9b92a1d-4574-48ca-a90e-319d637e3f94,checking,active,GBP,2021-05-03T00:00:00+00:00,,2021-05-03T00:00:00+00:00,2021-05-03T00:00:00+00:00
56567d56-12c7-467e-89a1-f0c375a52de2,d2f98849-efa8-47a7-a956-8c6726ffb2a1,credit,suspended,EUR,2018-09-16T00:00:00+00:00,,2018-09-16T00:00:00+00:00,2018-09-16T00:00:00+00:00
c11872df-4472-4e84-84fd-dfaef7f09706,d2f98849-efa8-47a7-a956-8c6726ffb2a1,checking,active,EUR,2022-01-24T00:00:00+00:00,,2022-01-24T00:00:00+00:00,2022-01-24T00:00:00+00:00
465a4ead-f170-48a5-8954-c5574e9f4201,c275da34-881e-40c6-ac8f-8833fb116ab6,checking,active,USD,2018-09-19T00:00:00+00:00,,2018-09-19T00:00:00+00:00,2018-09-19T00:00:00+00:00
b567849c-6a11-43d0-836e-18274ae032c2,5dc1aba0-0e3b-4441-b3d0-3eba59d23f31,investment,active,EUR,2019-09-30T00:00:00+00:00,,2019-09-30T00:00:00+00:00,2019-09-30T00:00:00+00:00
e0e81ed8-a5a7-43d0-9062-39e666a7bc46,21f8b225-1644-4645-b17a-035505b3f116,checking,active,USD,2021-05-20T00:00:00+00:00,,2021-05-20T00:00:00+00:00,2021-05-20T00:00:00+00:00
dd03e65e-f52b-47d7-a01a-51cb36cf27ed,21f8b225-1644-4645-b17a-035505b3f116,savings,active,GBP,2021-04-16T00:00:00+00:00,,2021-04-16T00:00:00+00:00,2021-04-16T00:00:00+00:00
da1a820d-bb53-4d71-aa75-bf7a218f2e65,45957a60-194d-497d-b09d-cd19413b4e20,checking,inactive,SGD,2021-02-19T00:00:00+00:00,,2021-02-19T00:00:00+00:00,2021-02-19T00:00:00+00:00
fe70ec30-850b-4470-b954-7b9e41fc9ee6,821a769a-0878-436b-a25b-3804696a44a8,checking,active,INR,2019-02-17T00:00:00+00:00,,2019-02-17T00:00:00+00:00,2019-02-17T00:00:00+00:00
6dcf4741-8f22-4362-ae4a-9cf32a0ce801,0babd139-480c-469d-99b3-3751cb68abfa,credit,active,EUR,2020-08-15T00:00:00+00:00,,2020-08-15T00:00:00+00:00,2020-08-15T00:00:00+00:00
