transaction_id,customer_id,account_id,merchant_id,device_id,transaction_timestamp,amount,currency,amount_usd,transaction_type,country,city,payment_method,status,ip_address,is_international
e7f357a0-2ac3-4d63-95b1-54a86be09888,958c55ce-4194-414a-878b-0dfb06886280,ee5881e8-1d57-4828-a80f-a8c18901d420,6a408e40-0935-42d0-8b53-f4739a4b1fd4,8cff361e-1048-4226-8222-53ddd6a4b8e2,2024-01-01T00:00:25+00:00,963.38,INR,11.56,payment,IN,Port Chadfurt,bank_transfer,failed,124.252.227.100,false
a8e4d36c-58fe-4934-9447-337c91199ee6,b04a908e-384c-4561-af2b-de5cc17c0907,e9877308-0140-4217-98ca-d2436c446e41,3e329705-c9bc-42db-a7fa-67a39c239f21,7a68d143-617f-47a9-996b-39eb0af2f489,2024-01-01T00:02:55+00:00,115827.19,INR,1389.93,purchase,IN,Lake Kristopher,upi,completed,3.150.20.50,false
f000db60-878c-4ad1-9407-09c9db8f7926,b0a931d1-353e-49c4-ac44-5e5fe08a8205,95752d4b-f467-40dd-a6f3-b0481e0c01a4,1fa79fb7-7293-4d10-b137-13f10022e1cc,1ebb75dc-aeb3-494d-ad91-039ce085e6aa,2024-01-01T00:04:35+00:00,12.82,AUD,8.33,withdrawal,AU,Walterstad,card,completed,134.26.145.136,false
29f58fc6-ae0c-4851-add6-8466e19f74ae,0e90c079-c1d2-4bca-82cc-e5eddd6b040c,cc6ef5ce-f19b-4a73-968b-8bce8e103e61,30357b2b-8e2d-4baa-b6ff-282ce1123c0c,cf8e7c59-2c07-46c9-871b-ce3ad82964e2,2024-01-01T00:04:45+00:00,286.18,USD,286.18,transfer,US,North David,upi,failed,165.232.198.210,false
5a09c9ae-e030-4cb5-a8dd-56fedcd95ad4,e3d9de7f-aba2-4511-b544-b28c0bbad72a,3f492de5-7ce7-4038-a008-e0001aa34e0a,02ee4474-88f8-4581-a390-1ce168c2775e,8fbaf3c9-5c2f-49b1-8210-0c441d645c80,2024-01-01T00:08:10+00:00,8.07,EUR,8.72,purchase,FR,Kerriside,bank_transfer,completed,217.136.93.42,false
c465e519-f5e0-4ae1-b976-3ad60e09be7b,25ca0637-b416-4118-8af4-5bf63242f302,39f4adfe-7c48-45ae-babe-51343206896d,9d7da954-335e-44d5-baf0-d61219ed0eb7,bc0d354f-b1dd-4a90-8711-0076503775ab,2024-01-01T00:08:57+00:00,26491.1,INR,317.89,purchase,IN,North Ryan,card,completed,147.110.40.37,false
6dfb8b48-e0cd-4df8-87d9-5ee52ce48437,18e88d05-8a28-4bc0-99b9-93ebb63b79af,2d9fa73b-5c01-4993-9d0a-3d3839a4fc3a,e6d20b58-82b2-48ba-9181-2d05cb976879,301bec26-3b60-4ab0-9dca-6de2ce733412,2024-01-01T00:10:21+00:00,220.15,USD,220.15,transfer,US,New Michelleberg,card,completed,142.0.167.234,false
c70abf03-5bc6-4da4-b5cd-1f3b7f57d53c,13127c2b-f234-4465-8724-89f72a72b033,bbae43ee-8813-4552-a15c-3b9cef562224,8167b909-e21e-40d0-8694-7928b514ecfa,9b6c7b0f-40d4-4652-8b9a-7dcb7d1c103f,2024-01-01T00:12:19+00:00,9651.66,INR,115.82,purchase,IN,South Jessica,card,completed,54.119.245.180,false
4363fe45-a7a4-447f-b828-e82dc73bd8af,630c1495-b432-4034-952a-47ffe1a83962,30f85073-bb1b-49ca-bd2e-8344277683c8,a22fcb11-8579-4c00-9c3a-c2ae017fdde0,75cc590b-cb65-4d5d-aa05-7d1ae7a32afc,2024-01-01T00:13:25+00:00,3319.03,MXN,192.5,purchase,MX,East Heatherville,bank_transfer,completed,210.145.3.20,false
2bce86d7-5bfd-4888-91f1-38d598bb3983,9313ea0f-b5d6-4793-8003-fd3ed49bf21a,db1e0d60-f460-4c00-9392-faa5b2596be2,ac177510-abfc-4f78-a23d-620cf21de0bb,8d2c637a-03eb-424d-964d-3d1be4f5b421,2024-01-01T00:16:05+00:00,1833.83,USD,1833.83,purchase,US,Shelleyshire,wallet,completed,208.220.197.125,false
